分类,相对路径,记录数,字段数,字段名,备注
资源系统,analysis/game_rules/storage_offline_system/resource_point_remaining_refs/field_refs.md,1,0,,资源点剩余字段全 DEX 引用扫描报告
资源系统,analysis/game_rules/storage_offline_system/resource_point_remaining_refs/field_refs.json,2,5,class / name / desc / code_off / hits,资源点剩余字段全 DEX 引用扫描 JSON
资源系统,analysis/game_rules/storage_offline_system/road_wall_formula_report.md,1,0,,道路/城墙公式深追第一版报告
资源系统,analysis/game_rules/storage_offline_system/road_wall_formula_fields.csv,14,8,规则项 / 操作类型 / 资源类型 / 客户端变量/字段 / 公式/字段顺序 / 置信度 / 证据 / 服务端重建建议,道路/城墙修筑换算、贡献公式和请求协议字段表
资源系统,analysis/game_rules/storage_offline_system/road_wall_formula_summary.json,1,7,date / topic / key_conclusions / protocol / generated_files / evidence_files / remaining_unknowns,道路/城墙公式深追 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/repair_response_report.md,1,0,,修筑成功响应字段深追报告
资源系统,analysis/game_rules/storage_offline_system/repair_response_fields.csv,19,11,protocol / response_opcode_hex / handler / group / order / field / io / target_cache / evidence / meaning / confidence,修筑响应 0x8304 字段顺序与语义表
资源系统,analysis/game_rules/storage_offline_system/repair_response_summary.json,1,11,date / topic / request_opcode / response_opcode / dispatcher / handler / key_findings / response_order / generated_files / evidence_files / remaining_unknowns,修筑响应字段 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/repair_response_disasm/repair_response_methods_summary.md,1,0,,修筑响应相关 k 方法反汇编摘要
资源系统,analysis/game_rules/storage_offline_system/repair_response_disasm/repair_response_methods_summary.json,11,10,name / desc / code_off / reads / writes / strings / calls / fields / consts / file,修筑响应相关 k 方法反汇编摘要 JSON
资源系统,analysis/game_rules/storage_offline_system/repair_response_disasm/i_p_refs/i_p_refs_summary.json,16,7,class / name / desc / code_off / field_hits / strings / file,贡献字段 data.i.p 引用证据 JSON
资源系统,analysis/game_rules/storage_offline_system/road_wall_effect_formula_status_report.md,1,0,,道路速度与城防加成公式静态追踪状态报告
资源系统,analysis/game_rules/storage_offline_system/road_wall_effect_formula_status.csv,4,7,topic / field_or_formula / status / evidence / conclusion / confidence / server_rebuild_note,道路速度、城防加成、炮塔公式恢复状态表
资源系统,analysis/game_rules/storage_offline_system/road_wall_effect_formula_status_summary.json,1,7,date / topic / key_findings / usage_ref_count / important_refs / generated_files / remaining_unknowns,道路速度与城防加成公式静态追踪 JSON 汇总
资源系统,analysis/game_rules/storage_offline_system/road_wall_usage_refs/road_wall_usage_refs.csv,12,7,class / method / desc / code_off / fields / strings / file,道路/城墙/炮塔字段全 DEX 引用扫描表
资源系统,analysis/game_rules/storage_offline_system/road_wall_usage_refs/road_wall_usage_refs.json,12,8,class / name / desc / code_off / hits / strings / calls / file,道路/城墙/炮塔字段全 DEX 引用扫描 JSON
资源系统,analysis/game_rules/resource_system/gH_currency_deep/gH_identity_report.md,1,0,,data.g.H 最终命名与玉石区分报告
资源系统,analysis/game_rules/resource_system/gH_currency_deep/gH_identity_evidence.csv,8,5,证据项 / 位置/文件 / 关键内容 / 结论 / 置信度,data.g.H 命名证据链与玉石区分证据表
资源系统,analysis/game_rules/resource_system/gH_currency_deep/negative_resource_id_mapping_corrected.csv,14,5,resource_id / display_name_from_g.f8 / value_field_from_g.w0 / confidence / note,负数资源 ID -1..-14 修正映射表
资源系统,analysis/game_rules/resource_system/gH_currency_deep/gH_identity_summary.json,1,10,date / topic / final_name / field / resource_id / confidence / key_findings / generated_files / important_evidence / remaining_unknowns,data.g.H 最终命名 JSON 汇总
资源系统,analysis/game_rules/resource_system/gH_currency_deep/gH_field_refs.csv,4,8,class / method / desc / code_off / hits / strings / read_calls / file,data.g.H 精确字段引用扫描表
资源系统,analysis/game_rules/resource_system/gH_currency_deep/gH_field_refs.json,4,11,class / name / desc / code_off / hits / strings / reads / writes / invokes / consts / file,data.g.H 精确字段引用扫描 JSON
资源系统,analysis/game_rules/resource_system/gH_currency_deep/jade_string_method_refs.csv,25,6,class / method / desc / code_off / hits / file,玉石相关 UI/流程字符串引用扫描表
资源系统,analysis/game_rules/resource_system/gH_currency_deep/jade_string_method_refs.json,25,7,class / name / desc / code_off / hits / strings / file,玉石相关 UI/流程字符串引用扫描 JSON
资源系统,analysis/game_rules/resource_system/gH_currency_deep/g_w0_call_windows.csv,7,8,class / method / desc / code_off / invoke_off / contains_minus14 / window / strings,data.g.w0 调用窗口扫描表
资源系统,analysis/game_rules/resource_system/gH_currency_deep/g_w0_call_windows.json,7,8,class / name / desc / code_off / invoke_off / window / contains_minus14 / strings,data.g.w0 调用窗口扫描 JSON
资源系统,analysis/game_rules/resource_system/limits_deep/limit_fields_report.md,1,0,,人口/资源点/封地/将领上限字段第一版报告
资源系统,analysis/game_rules/resource_system/limits_deep/limit_field_mapping.csv,6,9,field / type / final_name / confidence / full_sync / tag_update / ui_evidence / logic_evidence / server_rebuild,人口/资源点/封地/将领上限字段映射表
资源系统,analysis/game_rules/resource_system/limits_deep/limit_formula_summary.json,1,9,date / topic / confidence / confirmed_fields / protocol_sync / recovered_formula / key_evidence_files / remaining_unknowns / generated_files,人口/资源点/封地/将领上限字段与征兵公式 JSON 汇总
资源系统,analysis/game_rules/resource_system/limits_deep/limit_field_refs.csv,30,9,class / method / desc / code_off / fields / hits / strings / reads / file,人口/资源点/封地/将领上限相关字段引用扫描表
资源系统,analysis/game_rules/resource_system/limits_deep/limit_field_refs.json,30,11,class / name / desc / code_off / hits / strings / reads / writes / invokes / consts / file,人口/资源点/封地/将领上限相关字段引用扫描 JSON
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_status_report.md,1,0,,玩家成长数值深追状态报告
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_field_status.csv,7,5,field / meaning / evidence / confidence / server_rebuild_note,玩家成长字段状态表
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_status_summary.json,1,7,date / topic / confirmed / recovered_formulas / negative_findings / generated_files / next_steps,玩家成长数值深追状态 JSON 汇总
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_candidate_methods.csv,81,9,class / method / desc / code_off / score / strings / fields / calls / consts,玩家成长候选方法扫描表
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_candidate_methods.json,81,10,class / method / desc / code_off / strings / fields / calls / consts / score / file,玩家成长候选方法扫描 JSON
资源系统,analysis/game_rules/player_growth/growth_numeric_deep/growth_numeric_candidate_disasm_summary.json,80,10,class / method / desc / code_off / strings / fields / calls / consts / score / file,玩家成长候选方法反汇编摘要 JSON
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_deep_report.md,1,0,,账号积分与玉石入口深追第一版报告
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_entry_mapping.csv,12,9,asset / id_or_field / entry / method / opcode / request_or_flow / evidence / confidence / server_rebuild,账号积分与玉石入口映射表
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_summary.json,1,6,date / topic / account_points / jade / generated_files / remaining_unknowns,账号积分与玉石入口 JSON 汇总
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_candidate_methods.csv,37,12,class / method / desc / code_off / hit_count / hits / strings / consts / calls / writes / reads / fields,账号积分/玉石候选方法扫描表
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_candidate_methods.json,37,12,class / method / desc / code_off / hit_count / hits / strings / consts / calls / writes / reads / fields,账号积分/玉石候选方法扫描 JSON
资源系统,analysis/game_rules/resource_system/account_points_jade_deep/account_points_jade_disasm_summary.json,37,13,class / method / desc / code_off / hit_count / hits / strings / consts / calls / writes / reads / fields / file,账号积分/玉石候选方法反汇编摘要 JSON
资源系统,analysis/game_rules/resource_system/jade_response_sync_deep/jade_response_sync_report.md,182,1,markdown,玉石消耗响应与背包同步报告
资源系统,analysis/game_rules/resource_system/jade_response_sync_deep/jade_response_sync_mapping.csv,7,9,模块 / 请求名 / 请求opcode / 响应opcode / handler / code_off / 同步特征 / 服务端重建建议 / 置信度,玉石响应同步 mapping 表
资源系统,analysis/game_rules/resource_system/jade_response_sync_deep/jade_response_sync_summary.json,3,3,topic / core_findings / artifacts,玉石响应同步 summary JSON
任务/活动,analysis/game_rules/task_activity_system/task_activity_system_first_report.md,151,1,markdown,任务/活动系统第一版报告
任务/活动,analysis/game_rules/task_activity_system/task_activity_protocol_mapping.csv,7,8,模块 / 请求名 / 请求opcode / 响应opcode / handler / 请求体/读流 / 同步/状态 / 置信度,任务/活动关键协议 mapping 表
任务/活动,analysis/game_rules/task_activity_system/task_activity_summary.json,3,3,topic / findings / artifacts,任务/活动 summary JSON
任务/活动,analysis/game_rules/task_activity_system/task_activity_string_refs.json,486,0,,任务/活动 DEX 字符串引用 JSON
任务/活动,analysis/game_rules/task_activity_system/task_activity_method_refs.json,527,0,,任务/活动 DEX 方法引用 JSON
任务/活动,analysis/game_rules/task_activity_system/task_activity_disasm_summary.json,60,0,,任务/活动关键方法反汇编摘要 JSON
任务/活动,analysis/game_rules/task_activity_system/freshman_script_strings.csv,59,5,index / offset / length / kind / text,scriptFreshman 新手/玩法说明字符串 CSV
任务/活动,analysis/game_rules/task_activity_system/task_detail_deep/task_detail_deep_report.md,262,1,markdown,普通任务详情/领取响应字段报告
任务/活动,analysis/game_rules/task_activity_system/task_detail_deep/task_detail_field_mapping.csv,19,6,字段/结构 / 来源方法 / 协议位置/访问位置 / 语义第一版 / 证据 / 置信度,普通任务详情字段 mapping 表
任务/活动,analysis/game_rules/task_activity_system/task_detail_deep/task_detail_summary.json,4,4,topic / protocols / core_fields / findings,普通任务详情 summary JSON
任务/活动,analysis/game_rules/task_activity_system/task_detail_deep/task_detail_methods_summary.json,15,0,,普通任务详情关键方法反汇编摘要 JSON
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_report.md,256,1,markdown,六部任务列表字段深拆报告
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_protocol_mapping.csv,4,8,模块 / 请求名 / 请求opcode / 响应opcode / handler / 请求体 / 响应/同步特征 / 置信度,六部任务协议 mapping 表
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_field_mapping.csv,29,6,字段/结构 / 来源方法 / 协议位置/访问位置 / 语义第一版 / 证据 / 置信度,六部任务字段 mapping 表
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_summary.json,5,5,topic / protocols / core_fields / findings / remaining_unknowns,六部任务 summary JSON
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_methods_summary.md,18,1,markdown,六部任务关键方法摘要 Markdown
任务/活动,analysis/game_rules/task_activity_system/libu_task_deep/libu_task_methods_summary.json,14,9,class / method / desc / code_off / file / reads / writes / strings / fields,六部任务关键方法摘要 JSON
