seq,campaign,stage,title,objective,enemy_summary,enemy_total,reward_summary,location,scene_files,story,string_count,offset_start
92,8,6,吴侯遇刺,消除与吴水军的误会，前往吴郡,重步兵*2500/近卫兵*2500/铁骑兵*2000/铁骑兵*2000/强弩兵*2000,11000,装备/活血丹/玉露/贪官罪证,,8-6-1.sc/8-6-2.sc/8-6-3.sc,我军招降山越后，听闻东吴孙策遇害，前往吴郡看望，不料在途中与东吴水军误打起来。,8,0xd616
93,8,7,孙权追凶,追击刺灭孙策的凶手,重步兵*2500/重步兵*2500/近卫兵*2000/骁骑兵*2000/强弩兵*2200,11200,装备/精铁宝箱/贪官罪证,,8-7-1.sc/8-7-3.sc,到达吴郡后，孙策已死，孙权悲痛不己，恰有哨兵发现形迹可疑之人，我遂与孙权一同前去阻截。,7,0xd87b
94,8,8,征伐黄祖,击溃黄祖大将苏飞,重步兵*3000/近卫兵*2000/近卫兵*2000/骁骑兵*3000/弩骑兵*2000,12000,装备/精铁宝箱/贪官罪证,,8-8-1.sc/8-8-3.sc,捉拿到凶手后，得知幕后的元凶是江夏太守黄祖，遂与孙权联合出兵直指江夏。,7,0xdad1
95,8,9,九江兵变,镇压九江叛军,重步兵*2800/重步兵*2800/铁骑兵*3000/强弩兵*2000/强弩车*1300,11900,装备/精铁宝箱/贪官罪证,,8-9-1.sc/8-9-3.sc,黄祖被灭后，我收到消息，九江发生了兵变，于是告别孙权后直达九江，镇压叛军。,7,0xdd0c
96,8,10,惩戒贪官,捉拿贪官，严惩其罪,重步兵*3000/重步兵*3000/近卫兵*2000/骁骑兵*2000/强弩兵*2500,12500,装备/精铁宝箱/贪官罪证,,8-10-1.sc/8-10-3.sc,在得知百姓乃是被迫反叛之后，我亲自前往县衙，要惩治贪官。,7,0xdf47
97,8,11,寿春之变,攻打叛军，擒拿县令,重步兵*2500/近卫兵*2500/骁骑兵*2500/弩骑兵*2000/强弩车*1500,11000,装备/精铁宝箱/贪官罪证,,8-11-1.sc/8-11-3.sc,寿春县令害怕被我问罪，集结了几路贪官人马，欲固守寿春。,7,0xe172
98,,,兴兵问罪,打败来犯叛军，擒拿九江太守刘馥,重步兵*1500/重步兵*1500/近卫兵*1500/近卫兵*1500/骁骑兵*3000/骁骑兵*2000/骁骑兵*2000/骁骑兵*2000/弩骑兵*2000/弩骑兵*2000/强弩车*1200/强弩车*1200,21400,装备/兵法心得,,,寿春被将领占据，九江太守看到侄子被我关押，就举兵前来。连日的交战，兵将们疲惫不堪，但是大敌当前，必须即刻备战。,5,0xe39a
99,,,押解遇袭,击退敌军，突出敌军包围,重步兵*2200/重步兵*2200/近卫兵*2500/骁骑兵*2500/弩骑兵*2000/重弩车*1500,12900,装备/小还丹/冰玉,,9-lb-1-1.sc/9-lb-1-2.sc/9-lb-1-3.sc,曹操回信，要我押解刘馥到许昌问罪，可是在去许昌的途中却遭遇了埋伏。,8,0xe6b2
100,,,与曹反目,灭退敌军,重步兵*2000/近卫兵*3000/骁骑兵*3000/强弩兵*1700/强弩兵*1700/重弩车*1600,13000,装备/小还丹/冰玉,,9-lb-2-1.sc/9-lb-2-3.sc,在前往新野的路上，突然遇见了刘馥阻拦。,7,0xe90b
101,,,助刘战曹,击退李典，攻占樊城,重步兵*2500/重步兵*2500/骁骑兵*3000/强弩兵*2300/强弩兵*2300,12600,装备/小还丹/冰玉,,9-lb-3-1.sc/9-lb-3-2.sc/9-lb-3-3.sc,"与刘备回到新野不久，曹仁就领兵征讨新野。连日作战之后，我军决定反攻为守，攻占樊城。
",8,0xeb1a
102,,,火烧博望,击退夏侯惇,重步兵*2000/重步兵*2000/骁骑兵*3000/铁骑兵*2000/铁骑兵*2000/弩骑兵*1800,12800,装备/小还丹/冰玉,,9-lb-4-1.sc/9-lb-4-2.sc/9-lb-4-3.sc,"我军与刘备在新野休养生息，不断招兵买马。曹操视为心腹大患，派夏侯惇领兵十万出征新野。
",8,0xed73
103,,,力战许褚,击退许褚,骁骑兵*3000/铁骑兵*3000/铁骑兵*3000/弩骑兵*2000/弩骑兵*2000,13000,装备/小还丹/冰玉,,9-lb-5-1.sc/9-lb-5-3.sc,荆州牧刘表病死，荆州大乱，曹操趁机亲领五十万大军直取荆州，一时间新野城内人心惶惶。,7,0xefd4
104,,,火烧新野,击退曹仁、曹洪,重步兵*2500/重步兵*2500/骁骑兵*3000/骁骑兵*3000/弩骑兵*2200,13200,装备/小还丹/冰玉,,9-lb-6-1.sc/9-lb-6-3.sc,曹仁曹洪领军占领了新野，突然周围火起，只有东门一条路可以逃出，仓惶逃出，遇见我军的埋伏。,7,0xf212
105,,,大战长坂,击退曹军,重步兵*3000/近卫兵*2000/近卫兵*2000/铁骑兵*2000/铁骑兵*2000/弩骑兵*2400,13400,装备/精铁宝箱/曹仁兵符,,9-lb-7-1.sc/9-lb-7-3.sc,曹操的大军步步紧逼，我军与张飞且战且退，在长坂桥驻守以待曹军。,7,0xf462
106,,,退兵夏口,击退曹军,重步兵*3000/重步兵*3000/骁骑兵*3000/弩骑兵*1600/重弩车*1500,12100,装备/精铁宝箱/曹仁兵符,,9-lb-8-1.sc/9-lb-8-3.sc,张飞来报，曹操已经追来，前有大江，后有追兵，只能背水一战了。,7,0xf69c
107,,,草船借箭,击退曹军巡游兵士,重步兵*2000/重步兵*2000/近卫兵*2000/近卫兵*2000/铁骑兵*1800/强弩兵*2000/强弩兵*2000,13800,装备/精铁宝箱/曹仁兵符,,9-lb-9-1.sc/9-lb-9-2.sc/9-lb-9-3.sc,刘备与东吴联盟，共御曹操。周瑜嫉妒诸葛亮智胜于他，与他立下军令状要他三天造好十万支箭。,8,0xf8c2
108,,,起风送人,击退丁奉、徐盛,重步兵*2000/重步兵*2000/骁骑兵*3000/铁骑兵*2000/铁骑兵*2000/强弩兵*3000,14000,装备/精铁宝箱/曹仁兵符,,9-lb-10-1.sc/9-lb-10-2.sc/9-lb-10-3.sc,联军欲用火攻破敌，诸葛亮愿登坛做法求东风，却又来到我的府上,8,0xfb46
109,,,追袭曹军,击退张颌,重步兵*2500/重步兵*2500/骁骑兵*3000/铁骑兵*2200/强弩兵*2000/强弩兵*2000,14200,装备/精铁宝箱/曹仁兵符,,9-lb-11-1.sc/9-lb-11-3.sc,辞别诸葛亮，来到赤壁，正见曹操欲逃去，留张颌殿后。,7,0xfd91
110,,,夜袭南郡,击退陈矫，夺取南郡,重步兵*3000/近卫兵*3000/铁骑兵*2400/强弩兵*2000/重弩车*1000/重弩车*1000,12400,装备/精铁宝箱/曹仁兵符,,9-lb-12-1.sc/9-lb-12-3.sc,东吴为南郡与曹仁激战，我军趁夜袭击南郡。,7,0xffbb
111,,,攻占襄阳,灭退夏侯惇,重步兵*2000/重步兵*2000/近卫兵*1800/近卫兵*1800/骁骑兵*3000/骁骑兵*3000/骁骑兵*3000/铁骑兵*1500/铁骑兵*1500/强弩兵*1500/强弩兵*1500/弩骑兵*1500/弩骑兵*1500/重弩车*1400/重弩车*1400,28400,紧急招募令/装备,,,带着曹仁的兵符，准备混入襄阳，攻克该城。,5,0x101e5
