domain,container,field,canonical_name,type,sync_source,meaning,confidence,evidence,server_rebuild_note,source
equipment_state,LscriptPages/data/d;,l,装备额外文本/描述,[[String],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,A(J) 返回原文，s(J) 去掉 <#> 标签后显示。,high,Lo/a;->V5(Ljava/lang/String;)V@0x010c:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0216:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x039e:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0408:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0130:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x025c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0304:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x04c0:sget-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,m,内部标志/状态,[[I],Lo/a.V5 bank0 and/or Lo/a.c6 bank1,V5/c6 初始化为 0；未发现 UI 语义，待复核。,low,Lo/a;->V5(Ljava/lang/String;)V@0x0118:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x022a:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x03ae:sget-object || Lo/a;->V5(Ljava/lang/String;)V@0x0410:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x013c:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0268:sget-object || Lo/a;->c6(Ljava/lang/String;)V@0x0310:sget-object || LscriptPages/data/d;->G()V@0x004e:sput-object,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,n,locator bank,int,Lo/a.V5 bank0 and/or Lo/a.c6 bank1,y(J) 设置的当前命中 bank。,high,LscriptPages/data/d;->A(J)Ljava/lang/String;@0x0006:sget || LscriptPages/data/d;->B(J)[S@0x0006:sget || LscriptPages/data/d;->B(J)[S@0x0032:sget || LscriptPages/data/d;->D(J)Ljava/lang/String;@0x0006:sget || LscriptPages/data/d;->E(J)I@0x0006:sget || LscriptPages/data/d;->E(J)I@0x003a:sget || LscriptPages/data/d;->F(J)I@0x0006:sget || LscriptPages/data/d;->d(J)I@0x0006:sget,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
equipment_state,LscriptPages/data/d;,o,locator slot,int,Lo/a.V5 bank0 and/or Lo/a.c6 bank1,y(J) 设置的当前命中 slot。,high,LscriptPages/data/d;->A(J)Ljava/lang/String;@0x0010:sget || LscriptPages/data/d;->B(J)[S@0x0012:sget || LscriptPages/data/d;->B(J)[S@0x003a:sget || LscriptPages/data/d;->D(J)Ljava/lang/String;@0x0010:sget || LscriptPages/data/d;->E(J)I@0x0012:sget || LscriptPages/data/d;->E(J)I@0x0042:sget || LscriptPages/data/d;->F(J)I@0x0010:sget || LscriptPages/data/d;->d(J)I@0x0010:sget,装备数据容器字段；未来按 bank0/bank1 与 host 绑定关系建模。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/data_d_field_dictionary.csv
object_b6,Lo/a,do,name,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6 block b6.common @ 0x0010,对象/将领名称。,high,对象显示名/名称字符串候选；将领列表 UI 的核心字段。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,io,growth_value,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x0074,成长值；将领详情/监狱 UI 在“成长值”标签下读取 `Q2`。,high,对象 short 参数 #3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,jo,level,readByte(Ljava/lang/String;)B,b6 block b6.common @ 0x0088,等级；UI 以 `K3(name) + (A3 level) + 级` 显示。,high,对象 byte 参数 #3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,ko,exp_current,readInt(Ljava/lang/String;)I,b6 block b6.common @ 0x009c,经验当前值；监狱/将领详情 UI 以 `B2/C2` 显示经验进度。,high,对象 int 参数 #1。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,lo,exp_next_or_cap,readInt(Ljava/lang/String;)I,b6 block b6.common @ 0x00b0,经验目标/上限值；与 `ko` 组成经验进度。,high,对象 int 参数 #2。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,mo,force,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x00c4,武力；将领详情 UI 在“武力”标签下读取 `K2`。,high,对象 short 参数 #4。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,no,intelligence,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x00d8,智力；将领详情 UI 在“智力”标签下读取 `H3`。,high,对象 short 参数 #5。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,oo,command,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x00ec,统帅；将领详情 UI 在“统帅”标签下读取 `y3`。,high,对象 short 参数 #6。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,po,attack,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x0100,攻击；将领详情 UI 在“攻击”标签下读取 `t1`。,high,对象 short 参数 #7。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,qo,defense,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x0114,防御；将领详情 UI 在“防御”标签下读取 `v2`。,high,对象 short 参数 #8。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,ro,energy_current,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x0128,体力/行动力当前值；`a8` 本地每小时 +10 并受 `so` 上限限制，`z.C` 加体力响应更新 `ro/so`。,high,对象 short 参数 #9；a8 会本地随时间递增并受 so 上限限制。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,so,energy_max,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x013c,体力/行动力上限；`a8` 作为 `ro` 上限，UI 以 `T2/U2` 显示。,high,对象 short 参数 #10；a8 中作为 ro 的上限。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,vo,troop_capacity,readInt(Ljava/lang/String;)I,b6 block b6.common @ 0x0178,配兵上限/统兵容量；将领详情 UI 在“配兵上限”标签下读取 `r1`。,high,对象 int 参数 #3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,wo,loyalty_current,readByte(Ljava/lang/String;)B,b6 block b6.common @ 0x018c,忠诚度当前值；`z.I` 加忠诚响应更新 `wo/xo`，UI 显示忠诚度 `D2/E2`。,high,对象 byte 参数 #4。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,xo,loyalty_max,readByte(Ljava/lang/String;)B,b6 block b6.common @ 0x01a0,忠诚度上限/满值；`z.I` 提示“将领忠诚已全加满”并更新 `wo/xo`。,high,对象 byte 参数 #5。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,zo,salary_copper,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x01b4,俸禄铜钱；将领详情 UI 在“俸禄”标签下读取 `d4` 并追加“铜钱”。,high,对象 short 参数 #13。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Ao,breakout_ability,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x01c8,突围能力；将领详情 UI 在“突围能力”标签下读取 `A2`。,high,对象 short 参数 #14。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Eo,object_owner_fief_id,readLong(Ljava/lang/String;)J,b6 block b6.common @ 0x0218,"对象归属封地/宿主 id；`Q3(type,idx)` 直接返回该字段，`G2(host,0)` 用 `Eo[0][idx]==host` 过滤 type0 对象，`z.S` 会取 `Q3(0,idx)` 后调用 `q.M1(fief_id)`。",medium-high,对象 long 参数 #1；f6 重载列表前把 Eo 初始化为 -1。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Fo,soldier_count_or_assigned_troop_count,readLong(Ljava/lang/String;)J,b6 block b6.common @ 0x022c,当前带兵/配兵数量候选；HD 配兵 UI 与 `s1(II)` 使用该 long 字段。,medium-high,对象 long 参数 #2。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,No,state_end_time,readLong(Ljava/lang/String;)J,b6 block b6.common @ 0x0288,状态倒计时结束时间；b6 读取相对 long 后存为 `curTime + delta`，`a8` 在状态 5 时用它清状态。,high,相对时间/倒计时字段；客户端转为绝对结束时间并记录同步时刻。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Vo,state_code,readByte(Ljava/lang/String;)B,b6 block b6.common @ 0x02b2,对象状态 byte；`v4` accessor 读取，`a8` 处理状态 5/9 倒计时，`b6` 在 type!=1 且状态 3 时读取额外字段。,high,对象状态 byte；a8 会检查状态 5/9 的倒计时，b6 type!=1 分支会检查状态 3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Po,capture_persuade_count_by_view,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x02c6,监狱/俘虏次数字段；type0 在“被劝次数”下显示，type1 在“劝降次数”下显示。,high,对象 short 参数 #19。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Qo,capture_rescue_count_by_view,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x02da,监狱/俘虏次数字段；type0 在“营救次数”下显示，type1 在“被救次数”下显示。,high,对象 short 参数 #20。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,So,general_name_color_or_growth_tier,readByte(Ljava/lang/String;)B,b6 block b6.common @ 0x0302,将领名称颜色/成长档位候选；`V2` accessor 读取后只见用于索引 `gameHD/h.Q`、`gameHD/g.T1` 等颜色数组给将领名称上色。,medium-high,对象 byte 参数 #7。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,To,cultivation_guarantee_count_current,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x0316,将领培养当前保底/失败累计次数候选；培养 UI 在“保底次数”标签下作为第一个数值读取，培养失败响应仍走 `a6` 同步。,medium-high,对象 short 参数 #21。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Uo,cultivation_growth_full_or_cap_flag,readShort(Ljava/lang/String;)S,b6 block b6.common @ 0x032a,"培养保底配对/成长已满标志候选；`G3` accessor 读取，培养 UI 与 `To` 配对显示，同时发送 `0x1275` 前若 `G3(0,idx)!=0` 会直接提示“将领成长值已满”。",medium,对象 short 参数 #22。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Xo,owner_lord_name_type1,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6 block b6.type1_extra @ 0x0350,type==1 扩展字段；将领详情 UI 在“归属君主”标签下显示 `Xo[idx]`。,high for type1,仅 type==1 读取的字符串扩展字段 #1。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Zo,type1_prison_host_fief_id,readLong(Ljava/lang/String;)J,b6 block b6.type1_extra @ 0x0370,"type==1 扩展 long；`G2(host,1)` 不走 `Eo[1]`，而是用 `Zo[idx]==host` 过滤我方监狱俘虏/可劝降对象。",medium,仅 type==1 读取的 long 扩展字段 #2。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,bp,country_name_type1,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6 block b6.type1_extra @ 0x0390,type==1 扩展字段；将领详情 UI 在“所属国”标签下显示 `bp[idx]`。,high for type1,仅 type==1 读取的字符串扩展字段 #4。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,cp,prisoner_persuade_cooldown_base_time_type1,readLong(Ljava/lang/String;)J,b6 block b6.type1_extra @ 0x03a0,"type==1 扩展 long；`E3(idx)=max(cp+3600000-now,0)`，监狱俘虏页显示“劝降剩余”，点击劝降前若剩余>0 提示“再次劝降”。",high for type1,仅 type==1 读取的 long 扩展字段 #3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,dp,captured_self_rescue_cooldown_end_time,readInt(Ljava/lang/String;)I,b6 block b6.type0_status3_extra @ 0x03fc,仅 type!=1 且 `Vo==3` 读取的结束时间；`e4` 显示“营救剩余”，点击营救前若剩余>0 提示“再次营救”。,high,仅 type!=1 且 Vo[type][idx]==3 时读取的相对时间字段。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,gp,captured_self_city_name,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6 block b6.type0_status3_extra @ 0x0430,仅 `Vo==3` 扩展字符串；type0 监狱详情在“所在城”下显示，并与 `hp` 坐标拼接。,medium-high,仅 type!=1 且 Vo==3 的字符串扩展字段 #2。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,hp,captured_self_city_coord_pair,readShort(Ljava/lang/String;)S,b6 block b6.type0_status3_extra @ 0x045a,"仅 `Vo==3` 扩展 short[2]；`A1(J)` 按对象 id 返回坐标，type0 监狱详情显示为 `gp(x,y)`。",medium-high,仅 type!=1 且 Vo==3 的二元 short 参数 #1。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,ip,captured_self_fief_name,readUTF(Ljava/lang/String;)Ljava/lang/String;,b6 block b6.type0_status3_extra @ 0x046a,仅 `Vo==3` 扩展字符串；type0 监狱详情在“封地”下显示。,medium-high,仅 type!=1 且 Vo==3 的字符串扩展字段 #3。,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,co,object_id_table,side-table/parser field,b6 block  @ ,二维对象 id 表；type0 高置信为将领/可装备宿主主表，type1 为第二对象表。,high,,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,Oo,last_energy_tick_time,side-table/parser field,b6 block  @ ,体力本地恢复计时基准；b6 写为当前时间，`a8` 用它判断是否超过 1 小时并给 `ro` +10。,high,,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,jp,host_equipment_id_bindings,side-table/parser field,b6 block  @ ,type0 宿主装备绑定侧表；`c6` 按 host_id 写入，`z2(host_id)` 返回宿主已穿戴装备 id 列表。,high,,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
object_b6,Lo/a,kp,host_skill_or_aux_short_bindings,side-table/parser field,b6 block  @ ,宿主辅助 short 绑定表；`d6` 更新，`z.t0` 请求 general skill info 前会读取，候选为将领技能绑定/技能状态。,medium,,a6/f6/b6 对象同步字段；字段名为客户端结构名，服务端领域模型应按业务拆分。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/B6_OBJECT_FIELD_DICTIONARY.md
prison_host_index,LscriptPages/game/z;,D,current_fief_id_or_prison_host_fief_id,long/id,z.D/q.M1/G2 host filtering,"`z.i0(0)` 用 `Lo/a.G2(z.D,0)` 列出 type0 被俘对象；`z.i0(2)` 用 `Lo/a.G2(z.D,1)` 列出 type1 俘虏对象；`z.d1` 把 `z.D` 作为 0x1234/0x1236/0x1238/0x123b 的第一个 long。",medium-high,`q.M1(J)` 同时写 `q.o=z.D=input` 与 `z.C=Lo/a.p3(input)`；`Lo/a.p3` 在封地 id 表 `Lo/a.ov` 中定位 index。,监狱动作请求第一个 long 应按当前封地/监狱宿主 id 处理。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/PRISON_ACTION_RESPONSE_CONTRACTS.md
prison_host_index,Lo/a,Eo[type][idx],object_owner_fief_id,long/id,z.D/q.M1/G2 host filtering,type0 被俘列表按 `Eo[0]` 归属到当前封地/监狱宿主。,medium-high,"`Lo/a.Q3(type,idx)` 直接返回 `Eo[type][idx]`；`Lo/a.G2(host,0)` 用 `Eo[0][idx] == host` 过滤 type0 对象；`z.S` 对将领响应取 `Q3(0,idx)` 后调用 `q.M1(fief_id)`。",监狱动作请求第一个 long 应按当前封地/监狱宿主 id 处理。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/PRISON_ACTION_RESPONSE_CONTRACTS.md
prison_host_index,Lo/a,Zo[idx],type1_prison_host_fief_id,long/id,z.D/q.M1/G2 host filtering,type1 “我方监狱中的俘虏/可劝降对象”所属监狱/封地 id。,medium,"`Lo/a.G2(host,1)` 不用 `Eo[1]`，而是用 type1 扩展 `Zo[idx] == host` 过滤俘虏列表。",监狱动作请求第一个 long 应按当前封地/监狱宿主 id 处理。,/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/analysis/client_understanding/PRISON_ACTION_RESPONSE_CONTRACTS.md
